Taxonomy_highest	Taxonomy_genus
Firmicutes	Abiotrophia
Acidobacteria	Acanthopleuribacter
Actinobacteria	Acaricomes
Cyanobacteria	Acaryochloris
Firmicutes	Acetanaerobacterium
Firmicutes	Acetitomaculum
Firmicutes	Acetivibrio
Proteobacteria	Acetobacter
Firmicutes	Acetobacterium
Firmicutes	Acetohalobium
Firmicutes	Acetonema
Tenericutes	Acholeplasma
Proteobacteria	Achromatium
Proteobacteria	Achromobacter
Firmicutes	Acidaminobacter
Firmicutes	Acidaminococcus
Crenarchaeota	Acidianus
Proteobacteria	Acidicaldus
Acidobacteria	Acidicapsa
Proteobacteria	Acidiferrobacter
Crenarchaeota	Acidilobus
Actinobacteria	Acidimicrobium
Proteobacteria	Acidiphilium
Euryarchaeota	Acidiplasma
Proteobacteria	Acidisoma
Proteobacteria	Acidisphaera
Actinobacteria	Aciditerrimonas
Proteobacteria	Acidithiobacillus
Actinobacteria	Acidithiomicrobium
Acidobacteria	Acidobacterium
Proteobacteria	Acidocella
Proteobacteria	Acidomonas
Actinobacteria	Acidothermus
Proteobacteria	Acidovorax
Proteobacteria	Acinetobacter
Actinobacteria	Acrocarpospora
Bacteroidetes	Actibacter
Proteobacteria	Actimicrobium
Actinobacteria	Actinaurispora
Actinobacteria	Actinoallomurus
Actinobacteria	Actinoalloteichus
Proteobacteria	Actinobacillus
Actinobacteria	Actinobaculum
Actinobacteria	Actinocatenispora
Actinobacteria	Actinocorallia
Actinobacteria	Actinokineospora
Actinobacteria	Actinomadura
Actinobacteria	Actinomyces
Actinobacteria	Actinomycetospora
Actinobacteria	Actinophytocola
Actinobacteria	Actinoplanes
Actinobacteria	Actinopolymorpha
Actinobacteria	Actinopolyspora
Actinobacteria	Actinospica
Actinobacteria	Actinosynnema
Actinobacteria	Actinotalea
Actinobacteria	Actinotelluria
Bacteroidetes	Adhaeribacter
Actinobacteria	Adlercreutzia
Proteobacteria	Advenella
Bacteroidetes	Aequorivita
Firmicutes	Aeribacillus
Actinobacteria	Aeriscardovia
Firmicutes	Aerococcus
Actinobacteria	Aeromicrobium
Proteobacteria	Aeromonas
Crenarchaeota	Aeropyrum
Proteobacteria	Aestuariibacter
Bacteroidetes	Aestuariicola
Actinobacteria	Aestuariimicrobium
Proteobacteria	Afifella
Proteobacteria	Afipia
Proteobacteria	Agaricicola
Proteobacteria	Agarivorans
Proteobacteria	Aggregatibacter
Actinobacteria	Agreia
Proteobacteria	Agrobacterium
Actinobacteria	Agrococcus
Actinobacteria	Agromyces
Proteobacteria	Ahrensia
Proteobacteria	Aidingimonas
Verrucomicrobia	Akkermansia
Proteobacteria	Albibacter
Proteobacteria	Albidiferax
Proteobacteria	Albidovulum
Proteobacteria	Albimonas
Proteobacteria	Alcaligenes
Proteobacteria	Alcanivorax
Bacteroidetes	Algibacter
Proteobacteria	Algicola
Proteobacteria	Algorimarina
Bacteroidetes	Algoriphagus
Proteobacteria	Aliagarivorans
Proteobacteria	Alicycliphilus
Firmicutes	Alicyclobacillus
Proteobacteria	Aliihoeflea
Proteobacteria	Aliivibrio
Proteobacteria	Alishewanella
Bacteroidetes	Alistipes
Firmicutes	Alkalibacillus
Firmicutes	Alkalibacter
Firmicutes	Alkalibacterium
Bacteroidetes	Alkaliflexus
Proteobacteria	Alkalilimnicola
Proteobacteria	Alkalimonas
Firmicutes	Alkaliphilus
Proteobacteria	Alkalispirillum
Proteobacteria	Alkanibacter
Proteobacteria	Alkanindiges
Firmicutes	Allisonella
Actinobacteria	Alloactinosynnema
Firmicutes	Allobaculum
Proteobacteria	Allochromatium
Firmicutes	Allofustis
Firmicutes	Alloiococcus
Actinobacteria	Allokutzneria
Actinobacteria	Alloscardovia
Actinobacteria	Alpinimonas
Proteobacteria	Altererythrobacter
Verrucomicrobia	Alterococcus
Proteobacteria	Alteromonas
Proteobacteria	Alysiella
Proteobacteria	Amaricoccus
Proteobacteria	Ameyamaea
Synergistetes	Aminiphilus
Proteobacteria	Aminobacter
Synergistetes	Aminobacterium
Synergistetes	Aminomonas
Firmicutes	Ammonifex
Firmicutes	Ammoniphilus
Actinobacteria	Amnibacterium
Proteobacteria	Amorphus
Firmicutes	Amphibacillus
Proteobacteria	Amphritea
Actinobacteria	Amycolatopsis
Actinobacteria	Amycolicicoccus
Cyanobacteria	Anabaena
Cyanobacteria	Anabaenopsis
Firmicutes	Anaeroarcus
Firmicutes	Anaerobacillus
Firmicutes	Anaerobacter
Synergistetes	Anaerobaculum
Proteobacteria	Anaerobiospirillum
Firmicutes	Anaerobranca
Firmicutes	Anaerococcus
Firmicutes	Anaerofilum
Firmicutes	Anaerofustis
Firmicutes	Anaeroglobus
Chloroflexi	Anaerolinea
Proteobacteria	Anaeromyxobacter
Bacteroidetes	Anaerophaga
Tenericutes	Anaeroplasma
Bacteroidetes	Anaerorhabdus
Firmicutes	Anaerosinus
Firmicutes	Anaerospora
Firmicutes	Anaerosporobacter
Firmicutes	Anaerostipes
Firmicutes	Anaerotruncus
Firmicutes	Anaerovibrio
Firmicutes	Anaerovirgula
Firmicutes	Anaerovorax
Proteobacteria	Anaplasma
Proteobacteria	Ancalomicrobium
Proteobacteria	Ancylobacter
Proteobacteria	Anderseniella
Proteobacteria	Andreprevotia
Firmicutes	Aneurinibacillus
Proteobacteria	Angulomicrobium
Actinobacteria	Angustibacter
Firmicutes	Anoxybacillus
Firmicutes	Anoxynatronum
Bacteroidetes	Antarcticimonas
Proteobacteria	Antarctobacter
Cyanobacteria	Aphanizomenon
Cyanobacteria	Aphanothece
Proteobacteria	Aquabacterium
Proteobacteria	Aquamicrobium
Proteobacteria	Aquaspirillum
Proteobacteria	Aquicella
Aquificae	Aquifex
Bacteroidetes	Aquiflexum
Bacteroidetes	Aquimarina
Proteobacteria	Aquimonas
Proteobacteria	Aquincola
Firmicutes	Aquisalibacillus
Proteobacteria	Aquisalimonas
Proteobacteria	Aquitalea
Actinobacteria	Arcanobacterium
Euryarchaeota	Archaeoglobus
Proteobacteria	Archangium
Bacteroidetes	Arcicella
Proteobacteria	Arcobacter
Bacteroidetes	Arenibacter
Proteobacteria	Arenicella
Proteobacteria	Arenimonas
Proteobacteria	Arhodomonas
Armatimonadetes	Armatimonas
Actinobacteria	Arsenicicoccus
Proteobacteria	Arsenophonus
Actinobacteria	Arthrobacter
Cyanobacteria	Arthronema
Cyanobacteria	Arthrospira
Actinobacteria	Asaccharobacter
Proteobacteria	Asaia
Actinobacteria	Asanoa
Firmicutes	Asteroleplasma
Proteobacteria	Asticcacaulis
Actinobacteria	Astrosporangium
Firmicutes	Atopobacter
Actinobacteria	Atopobium
Firmicutes	Atopococcus
Firmicutes	Atopostipes
Proteobacteria	Aurantimonas
Actinobacteria	Auraticoccus
Proteobacteria	Aureimonas
Bacteroidetes	Aureispira
Actinobacteria	Auritidibacter
Actinobacteria	Austwickia
Proteobacteria	Avibacterium
Proteobacteria	Azoarcus
Proteobacteria	Azohydromonas
Proteobacteria	Azomonas
Proteobacteria	Azonexus
Proteobacteria	Azorhizobium
Proteobacteria	Azorhizophilus
Proteobacteria	Azospira
Proteobacteria	Azospirillum
Proteobacteria	Azotobacter
Proteobacteria	Azovibrio
Firmicutes	Bacillus
Proteobacteria	Bacteriovorax
Bacteroidetes	Bacteroides
Aquificae	Balnearium
Proteobacteria	Balneatrix
Bacteroidetes	Balneola
Bacteroidetes	Barnesiella
Proteobacteria	Bartonella
Proteobacteria	Bauldia
Firmicutes	Bavariicoccus
Proteobacteria	Bdellovibrio
Proteobacteria	Beggiatoa
Proteobacteria	Beijerinckia
Bacteroidetes	Belliella
Chloroflexi	Bellilinea
Proteobacteria	Belnapia
Proteobacteria	Bergeriella
Bacteroidetes	Bergeyella
Proteobacteria	Bermanella
Actinobacteria	Beutenbergia
Firmicutes	Bhargavaea
Proteobacteria	Bibersteinia
Actinobacteria	Bifidobacterium
Proteobacteria	Bilophila
Proteobacteria	Bisgaardia
Bacteroidetes	Bizionia
Proteobacteria	Blastobacter
Proteobacteria	Blastochloris
Actinobacteria	Blastococcus
Proteobacteria	Blastomonas
Planctomycetes	Blastopirellula
Bacteroidetes	Blattabacterium
Firmicutes	Blautia
Actinobacteria	Bogoriella
Proteobacteria	Bordetella
Spirochaetes	Borrelia
Proteobacteria	Bosea
Proteobacteria	Bowmanella
Actinobacteria	Brachybacterium
Proteobacteria	Brachymonas
Spirochaetes	Brachyspira
Proteobacteria	Brackiella
Proteobacteria	Bradyrhizobium
Actinobacteria	Branchiibius
Cyanobacteria	Brasilonema
Proteobacteria	Brenneria
Firmicutes	Brevibacillus
Actinobacteria	Brevibacterium
Spirochaetes	Brevinema
Proteobacteria	Brevundimonas
Firmicutes	Brochothrix
Actinobacteria	Brooklawnia
Proteobacteria	Brucella
Bacteroidetes	Brumimicrobium
Acidobacteria	Bryobacter
Acidobacteria	Bryocella
Proteobacteria	Buchnera
Proteobacteria	Budvicia
Firmicutes	Bulleidia
Proteobacteria	Burkholderia
Proteobacteria	Buttiauxella
Firmicutes	Butyricicoccus
Bacteroidetes	Butyricimonas
Firmicutes	Butyrivibrio
Proteobacteria	Byssovorax
Proteobacteria	Caedibacter
Proteobacteria	Caenimonas
Proteobacteria	Caenispirillum
Firmicutes	Caldalkalibacillus
Firmicutes	Caldanaerobacter
Firmicutes	Caldanaerobius
Firmicutes	Caldicellulosiruptor
Firmicutes	Caldicoprobacter
Chloroflexi	Caldilinea
Thermodesulfobacteria	Caldimicrobium
Proteobacteria	Caldimonas
Caldiserica	Caldisericum
Crenarchaeota	Caldisphaera
Firmicutes	Calditerricola
Deferribacteres	Calditerrivibrio
Deferribacteres	Caldithrix
Crenarchaeota	Caldivirga
Crenarchaeota	Caldococcus
Actinobacteria	Calidifontibacter
Firmicutes	Caloramator
Firmicutes	Caloranaerobacter
Cyanobacteria	Calothrix
Proteobacteria	Camelimonas
Proteobacteria	Caminibacter
Firmicutes	Caminicella
Proteobacteria	Campylobacter
Proteobacteria	Candidatus_Allobeggiato
Proteobacteria	Candidatus_Alysiosphaera
Bacteroidetes	Candidatus_Amoebophilus
Proteobacteria	Candidatus_Anadelfobacter
Planctomycetes	Candidatus_Anammoxoglobus
Actinobacteria	Candidatus_Aquiluna
Bacteroidetes	Candidatus_Aquirestis
Bacteroidetes	Candidatus_Armantifilum
Firmicutes	Candidatus_Arthromitus
Bacteroidetes	Candidatus_Azobacteroides
Tenericutes	Candidatus_Bacilloplasma
Proteobacteria	Candidatus_Blochmannia
Planctomycetes	Candidatus_Brocadia
Bacteroidetes	Candidatus_Brownia
Thaumarchaeota	Candidatus_Caldiarchaeum
Proteobacteria	Candidatus_Captivus
Bacteroidetes	Candidatus_Cardinium
Proteobacteria	Candidatus_Carsonella
Acidobacteria	Candidatus_Chloracidobacterium
Chloroflexi	Candidatus_Chlorothrix
Chlamydiae	Candidatus_Clavochlamydia
Spirochaetes	Candidatus_Cloacamonas
Firmicutes	Candidatus_Contubernalis
Proteobacteria	Candidatus_Cryptoprodotis
Proteobacteria	Candidatus_Curculioniphilus
Proteobacteria	Candidatus_Cyrtobacter
Firmicutes	Candidatus_Desulforudis
Proteobacteria	Candidatus_Endobugula
Proteobacteria	Candidatus_Entotheonella
Actinobacteria	Candidatus_Flaviluna
Chlamydiae	Candidatus_Fritschea
Proteobacteria	Candidatus_Glomeribacter
Proteobacteria	Candidatus_Hamiltonella
Proteobacteria	Candidatus_Hepatincola
Tenericutes	Candidatus_Hepatoplasma
Proteobacteria	Candidatus_Ishikawaella
Proteobacteria	Candidatus_Isobeggiatoa
Planctomycetes	Candidatus_Jettenia
Proteobacteria	Candidatus_Kleidoceria
Korarchaeota	Candidatus_Korarchaeum
Acidobacteria	Candidatus_Koribacter
Planctomycetes	Candidatus_Kuenenia
Proteobacteria	Candidatus_Liberibacter
Actinobacteria	Candidatus_Limnoluna
Tenericutes	Candidatus_Lumbricincola
Proteobacteria	Candidatus_Magnetananas
Nitrospirae	Candidatus_Magnetobacterium
Proteobacteria	Candidatus_Magnetoglobus
Proteobacteria	Candidatus_Maribeggiatoa
Proteobacteria	Candidatus_Marithrix
Chlamydiae	Candidatus_Metachlamydia
Actinobacteria	Candidatus_Microthrix
Proteobacteria	Candidatus_Midichloria
Proteobacteria	Candidatus_Moranella
Proteobacteria	Candidatus_Neoehrlichia
Thaumarchaeota	Candidatus_Nitrosoarchaeum
Thaumarchaeota	Candidatus_Nitrosocaldus
Thaumarchaeota	Candidatus_Nitrosotalea
Proteobacteria	Candidatus_Nitrotoga
Proteobacteria	Candidatus_Odyssella
Bacteroidetes	Candidatus_Paenicardinium
Proteobacteria	Candidatus_Parabeggiatoa
Euryarchaeota	Candidatus_Parvarchaeum
Proteobacteria	Candidatus_Pelagibacter
Tenericutes	Candidatus_Phytoplasma
Chlamydiae	Candidatus_Piscichlamydia
Actinobacteria	Candidatus_Planktoluna
Actinobacteria	Candidatus_Planktophila
Proteobacteria	Candidatus_Portiera
Chlamydiae	Candidatus_Protochlamydia
Proteobacteria	Candidatus_Puniceispirillum
Proteobacteria	Candidatus_Purcelliella
Proteobacteria	Candidatus_Regiella
Chlamydiae	Candidatus_Rhabdochlamydia
Actinobacteria	Candidatus_Rhodoluna
Proteobacteria	Candidatus_Riesia
Planctomycetes	Candidatus_Scalindua
Proteobacteria	Candidatus_Schneideria
Acidobacteria	Candidatus_Solibacter
Proteobacteria	Candidatus_Stammerula
Proteobacteria	Candidatus_Steffania
Bacteroidetes	Candidatus_Sulcia
Bacteroidetes	Candidatus_Symbiothrix
Synergistetes	Candidatus_Tammella
Proteobacteria	Candidatus_Thiobios
Proteobacteria	Candidatus_Thiopilula
Proteobacteria	Candidatus_Tremblaya
Verrucomicrobia	Candidatus_Xiphinematobacter
Proteobacteria	Candidatus_Zinderia
Proteobacteria	Candidimonas
Bacteroidetes	Capnocytophaga
Firmicutes	Carboxydocella
Firmicutes	Carboxydothermus
Proteobacteria	Cardiobacterium
Proteobacteria	Carnimonas
Firmicutes	Carnobacterium
Firmicutes	Caryophanon
Proteobacteria	Castellaniella
Actinobacteria	Catellatospora
Proteobacteria	Catellibacterium
Actinobacteria	Catelliglobosispora
Firmicutes	Catenibacterium
Actinobacteria	Catenulispora
Actinobacteria	Catenuloplanes
Firmicutes	Catonella
Proteobacteria	Caulobacter
Proteobacteria	Cedecea
Proteobacteria	Celeribacter
Proteobacteria	Celerinatantimonas
Actinobacteria	Cellulomonas
Bacteroidetes	Cellulophaga
Firmicutes	Cellulosilyticum
Actinobacteria	Cellulosimicrobium
Proteobacteria	Cellvibrio
Thaumarchaeota	Cenarchaeum
Firmicutes	Cerasibacillus
Verrucomicrobia	Cerasicoccus
Bacteroidetes	Cesiribacter
Fusobacteria	Cetobacterium
Cyanobacteria	Chamaesiphon
Proteobacteria	Chelativorans
Proteobacteria	Chelatococcus
Proteobacteria	Chelonobacter
Proteobacteria	Chitinibacter
Proteobacteria	Chitinilyticum
Proteobacteria	Chitinimonas
Proteobacteria	Chitiniphilus
Bacteroidetes	Chitinophaga
Chlamydiae	Chlamydia
Chlamydiae	Chlamydophila
Chlorobi	Chlorobaculum
Chlorobi	Chlorobium
Proteobacteria	Chlorochromatium
Chloroflexi	Chloroflexus
Cyanobacteria	Chlorogloeopsis
Chlorobi	Chloroherpeton
Chloroflexi	Chloronema
Proteobacteria	Chondromyces
Firmicutes	Christensenella
Proteobacteria	Chromatium
Proteobacteria	Chromobacterium
Proteobacteria	Chromohalobacter
Cyanobacteria	Chroococcidiopsis
Cyanobacteria	Chroococcus
Cyanobacteria	Chroogloeocystis
Bacteroidetes	Chryseobacterium
Firmicutes	Chryseomicrobium
Verrucomicrobia	Chthoniobacter
Armatimonadetes	Chthonomonas
Proteobacteria	Citreicella
Proteobacteria	Citreimonas
Actinobacteria	Citricoccus
Proteobacteria	Citrobacter
Actinobacteria	Clavibacter
Synergistetes	Cloacibacillus
Bacteroidetes	Cloacibacterium
Firmicutes	Clostridiisalibacter
Firmicutes	Clostridium
Proteobacteria	Cobetia
Proteobacteria	Cocleimonas
Bacteroidetes	Coenonia
Proteobacteria	Cohaesibacter
Firmicutes	Cohnella
Cyanobacteria	Coleodesmium
Proteobacteria	Collimonas
Actinobacteria	Collinsella
Proteobacteria	Colwellia
Proteobacteria	Comamonas
Actinobacteria	Compostimonas
Proteobacteria	Conchiformibius
Actinobacteria	Conexibacter
Proteobacteria	Congregibacter
Proteobacteria	Constrictibacter
Firmicutes	Coprobacillus
Firmicutes	Coprococcus
Firmicutes	Coprothermobacter
Verrucomicrobia	Coraliomargarita
Proteobacteria	Corallococcus
Actinobacteria	Coriobacterium
Actinobacteria	Corynebacterium
Proteobacteria	Cosenzaea
Bacteroidetes	Costertonia
Actinobacteria	Couchioplanes
Proteobacteria	Coxiella
Proteobacteria	Craurococcus
Proteobacteria	Crenothrix
Chlamydiae	Criblamydia
Cyanobacteria	Crinalium
Bacteroidetes	Croceibacter
Proteobacteria	Croceicoccus
Bacteroidetes	Croceitalea
Bacteroidetes	Crocinitomix
Proteobacteria	Cronobacter
Actinobacteria	Crossiella
Actinobacteria	Cryobacterium
Actinobacteria	Cryocola
Bacteroidetes	Cryomorpha
Firmicutes	Cryptanaerobacter
Actinobacteria	Cryptobacterium
Actinobacteria	Cryptosporangium
Proteobacteria	Cucumibacter
Proteobacteria	Cupriavidus
Actinobacteria	Curtobacterium
Proteobacteria	Curvibacter
Cyanobacteria	Cyanobacterium
Cyanobacteria	Cyanobium
Cyanobacteria	Cyanothece
Bacteroidetes	Cyclobacterium
Proteobacteria	Cycloclasticus
Cyanobacteria	Cylindrospermum
Proteobacteria	Cystobacter
Bacteroidetes	Cytophaga
Cyanobacteria	Dactylococcopsis
Actinobacteria	Dactylosporangium
Proteobacteria	Daeguia
Proteobacteria	Dasania
Proteobacteria	Dechloromonas
Proteobacteria	Dechlorospirillum
Proteobacteria	Deefgea
Deferribacteres	Deferribacter
Proteobacteria	Deferrisoma
Proteobacteria	Defluviicoccus
Firmicutes	Dehalobacter
Firmicutes	Dehalobacterium
Chloroflexi	Dehalococcoides
Chloroflexi	Dehalogenimonas
Deinococcus-Thermus	Deinococcus
Proteobacteria	Delftia
Actinobacteria	Demequina
Actinobacteria	Demetria
Firmicutes	Dendrosporobacter
Proteobacteria	Denitratisoma
Actinobacteria	Denitrobacterium
Deferribacteres	Denitrovibrio
Actinobacteria	Dermabacter
Actinobacteria	Dermacoccus
Actinobacteria	Dermatophilus
Proteobacteria	Derxia
Firmicutes	Desemzia
Firmicutes	Desmospora
Proteobacteria	Desulfacinum
Proteobacteria	Desulfarculus
Proteobacteria	Desulfatibacillum
Proteobacteria	Desulfatiferula
Proteobacteria	Desulfatirhabdium
Firmicutes	Desulfitibacter
Firmicutes	Desulfitispora
Firmicutes	Desulfitobacterium
Proteobacteria	Desulfobacca
Proteobacteria	Desulfobacter
Proteobacteria	Desulfobacterium
Proteobacteria	Desulfobacula
Proteobacteria	Desulfobotulus
Proteobacteria	Desulfobulbus
Proteobacteria	Desulfocaldus
Proteobacteria	Desulfocapsa
Proteobacteria	Desulfocella
Proteobacteria	Desulfococcus
Proteobacteria	Desulfocurvus
Proteobacteria	Desulfofaba
Proteobacteria	Desulfofrigus
Proteobacteria	Desulfofustis
Proteobacteria	Desulfoglaeba
Proteobacteria	Desulfohalobium
Proteobacteria	Desulfomicrobium
Proteobacteria	Desulfomonile
Proteobacteria	Desulfonatronospira
Proteobacteria	Desulfonatronovibrio
Proteobacteria	Desulfonatronum
Proteobacteria	Desulfonauticus
Proteobacteria	Desulfonema
Firmicutes	Desulfonispora
Proteobacteria	Desulfopila
Proteobacteria	Desulforegula
Proteobacteria	Desulforhabdus
Proteobacteria	Desulforhopalus
Proteobacteria	Desulfosalsimonas
Proteobacteria	Desulfosarcina
Proteobacteria	Desulfosoma
Proteobacteria	Desulfospira
Firmicutes	Desulfosporosinus
Proteobacteria	Desulfotalea
Proteobacteria	Desulfotignum
Firmicutes	Desulfotomaculum
Proteobacteria	Desulfovermiculus
Proteobacteria	Desulfovibrio
Proteobacteria	Desulfovirga
Firmicutes	Desulfovirgula
Proteobacteria	Desulfurella
Chrysiogenetes	Desulfurispirillum
Firmicutes	Desulfurispora
Proteobacteria	Desulfurivibrio
Aquificae	Desulfurobacterium
Crenarchaeota	Desulfurococcus
Proteobacteria	Desulfuromonas
